"Dataplot Line Number","Verification Group","Case Name","Type of Metric","Expected Metric","Predicted Metric","Dependent Variable","Type of Error","Error","Error Tolerance","Within Specified Error Tolerance","Plot Filename"
150,"Radiation","particle_absorption_cart_surf_cart","end",11.731,11.6629,"Temperature (\circC)","Relative Error","5.81e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/particle_absorption_cart_surf_cart"
150,"Radiation","particle_absorption_cart_surf_cart","end",13.7791,13.6992,"Temperature (\circC)","Relative Error","5.80e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/particle_absorption_cart_surf_cart"
150,"Radiation","particle_absorption_cart_surf_cart","end",17.1265,17.0273,"Temperature (\circC)","Relative Error","5.80e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/particle_absorption_cart_surf_cart"
151,"Radiation","particle_absorption_cart_surf_cyl","end",2.1344,2.1212,"Temperature (\circC)","Relative Error","6.16e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/particle_absorption_cart_surf_cyl"
151,"Radiation","particle_absorption_cart_surf_cyl","end",2.2727,2.2587,"Temperature (\circC)","Relative Error","6.16e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/particle_absorption_cart_surf_cyl"
151,"Radiation","particle_absorption_cart_surf_cyl","end",3.0231,3.0045,"Temperature (\circC)","Relative Error","6.16e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/particle_absorption_cart_surf_cyl"
151,"Radiation","particle_absorption_cart_surf_cyl","end",3.6349,3.6125,"Temperature (\circC)","Relative Error","6.16e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/particle_absorption_cart_surf_cyl"
152,"Radiation","particle_absorption_cart_surf_sph","end",1.5468,1.5355,"Temperature (\circC)","Relative Error","7.25e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/particle_absorption_cart_surf_sph"
152,"Radiation","particle_absorption_cart_surf_sph","end",1.7152,1.7027,"Temperature (\circC)","Relative Error","7.25e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/particle_absorption_cart_surf_sph"
152,"Radiation","particle_absorption_cart_surf_sph","end",1.9385,1.925,"Temperature (\circC)","Relative Error","6.95e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/particle_absorption_cart_surf_sph"
152,"Radiation","particle_absorption_cart_surf_sph","end",2.2582,2.2426,"Temperature (\circC)","Relative Error","6.93e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/particle_absorption_cart_surf_sph"
159,"Sprinklers and Sprays","particle_flux","end",0.64,0.64,"Mass (kg)","Relative Error","0.00e+00","1.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/particle_flux"
160,"WUI","pine_needles","end",0.64,0.64,"Mass (kg)","Relative Error","0.00e+00","1.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/pine_needles"
160,"WUI","pine_needles","end",0.2,0.2,"Mass (kg)","Relative Error","0.00e+00","1.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/pine_needles"
160,"WUI","pine_needles","end",0.16,0.16,"Mass (kg)","Relative Error","0.00e+00","1.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/pine_needles"
162,"Pressure Effects","pressure_rise","end",55,54.4643,"Temperature (\circC)","Relative Error","9.74e-03","2.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/pressure_rise_T"
163,"Pressure Effects","pressure_rise","end",1.6,1.5958,"Density (kg/m^3)","Relative Error","2.64e-03","1.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/pressure_rise_R"
164,"Species","propane_flame_deposition","end_1_2",0.000447,0.000445,"Mass (g)","Relative Error","4.47e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/propane_flame_deposition_gas"
166,"Species","propane_flame_deposition","end_1_1",0.000447,0.000445,"Mass (g)","Relative Error","4.47e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/propane_flame_deposition_total"
168,"Radiation","radiation_box","mean_1_5",0.2014,0.20474,"Heat Flux (kW/m^2)","Relative Error","1.66e-02","2.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/radiation_box_100"
169,"Radiation","radiation_shield","end",19.84,19.8425,"Heat Flux (kW/m^2)","Relative Error","1.26e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/radiation_shield_flux"
170,"Radiation","radiation_shield","end",20,20,"Temperature (\circC)","Relative Error","0.00e+00","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/radiation_shield_temp"
172,"Adaptive Mesh Refinement","random_meshes","end",0.012,0.012105,"Volume Flow (m^3/s)","Relative Error","8.79e-03","2.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/random_meshes"
173,"WUI","random_walk","max",0.25241,0.25992,"Normalized Number Density","Relative Error","2.98e-02","5.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/random_walk_1"
174,"WUI","random_walk","max",0.79135,0.74313,"Normalized Number Density","Relative Error","6.09e-02","1.00e-01","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/random_walk_2"
182,"Species","reactionrate_EDC_flim_1step_CH4","end",2542.9663,2543.0023,"Temperature (\circC)","Relative Error","1.41e-05","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/reactionrate_EDC_flim_1step_CH4_temp"
185,"Species","reactionrate_EDC_flim_1step_C3H8","end",2626.2488,2631.7106,"Temperature (\circC)","Relative Error","2.08e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/reactionrate_EDC_flim_1step_C3H8_temp"
189,"Species","reactionrate_EDC_1step_CH4_nonmix","end",2472.7149,2484.3481,"Temperature (\circC)","Relative Error","4.70e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/reactionrate_EDC_1step_nonmix_temp"
192,"Species","reactionrate_arrhenius_equilibrium","end",2545.37,2556.9252,"Temperature (\circC)","Relative Error","4.54e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/reactionrate_equilibrium_temperature"
202,"Sprinklers and Sprays","screen_drag_1","end",125.7031,126.4335,"Pressure Drop (Pa)","Relative Error","5.81e-03","3.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/screen_drag_1"
202,"Sprinklers and Sprays","screen_drag_1","end",13.9854,13.8785,"Pressure Drop (Pa)","Relative Error","7.64e-03","3.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/screen_drag_1"
202,"Sprinklers and Sprays","screen_drag_1","end",5.2947,5.2599,"Pressure Drop (Pa)","Relative Error","6.58e-03","3.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/screen_drag_1"
203,"Sprinklers and Sprays","screen_drag_2","mean",1261.4725,1248.5995,"Pressure Drop (Pa)","Relative Error","1.02e-02","4.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/screen_drag_2"
203,"Sprinklers and Sprays","screen_drag_2","mean",167.9265,169.7677,"Pressure Drop (Pa)","Relative Error","1.10e-02","4.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/screen_drag_2"
203,"Sprinklers and Sprays","screen_drag_2","mean",123.5223,127.4847,"Pressure Drop (Pa)","Relative Error","3.21e-02","4.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/screen_drag_2"
204,"Flowfields","simple_duct","end",0.5,0.49991,"CO_2 Mass (kg)","Relative Error","1.89e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/simple_duct_mass"
205,"Flowfields","simple_duct_2","end",0.5,0.49991,"CO_2 Mass (kg)","Relative Error","1.81e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/simple_duct_2_mass"
206,"Sprinklers and Sprays","sphere_drag_1","mean",3.77,3.7551,"Pressure Drop (Pa)","Relative Error","3.94e-03","5.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/sphere_drag_1"
206,"Sprinklers and Sprays","sphere_drag_1","mean",7.54,7.5122,"Pressure Drop (Pa)","Relative Error","3.69e-03","5.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/sphere_drag_1"
206,"Sprinklers and Sprays","sphere_drag_1","mean",15.07,15.5753,"Pressure Drop (Pa)","Relative Error","3.35e-02","5.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/sphere_drag_1"
207,"Sprinklers_and_Sprays","sphere_drag_2","max",0.21,0.21331,"Pressure (Pa)","Relative Error","1.58e-02","2.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/sphere_drag_2"
208,"Atmospheric Effects","stack_effect","end",4.15,4.1243,"Velocity (m/s)","Relative Error","6.20e-03","5.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/stack_effect_v"
208,"Atmospheric Effects","stack_effect","end",3.95,3.9192,"Velocity (m/s)","Relative Error","7.81e-03","5.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/stack_effect_v"
209,"Atmospheric Effects","stack_effect","end",1.2272,1.2255,"Density (kg/m^3)","Relative Error","1.36e-03","1.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/stack_effect_rho"
209,"Atmospheric Effects","stack_effect","end",1.2412,1.2396,"Density (kg/m^3)","Relative Error","1.31e-03","1.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/stack_effect_rho"
209,"Atmospheric Effects","stack_effect","end",1.1858,1.1838,"Density (kg/m^3)","Relative Error","1.73e-03","1.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/stack_effect_rho"
209,"Atmospheric Effects","stack_effect","end",1.1989,1.1973,"Density (kg/m^3)","Relative Error","1.35e-03","1.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/stack_effect_rho"
210,"Species","soot_gravitational_settling","end",4.93e-05,5.0252e-05,"Soot Concentration (mg/m^3)","Relative Error","1.93e-02","2.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/soot_gravitational_settling"
211,"Species","soot_gravitational_settling_2","end",8.586e-05,8.5968e-05,"Soot Concentration (mg/m^3)","Relative Error","1.26e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/soot_gravitational_settling_2"
213,"Pyrolysis","shrink_swell","end_1_1",0.5,0.5,"Surface density (kg/m^2)","Relative Error","0.00e+00","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/shrink_mass_conservation"
214,"Pyrolysis","shrink_swell","end_1_1",1,1,"Surface density (kg/m^2)","Relative Error","0.00e+00","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/swell_mass_conservation"
215,"Pyrolysis","shrink_swell","end_1_1",0.0005,0.0005,"Thickness (m)","Relative Error","0.00e+00","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/shrink_thickness"
216,"Pyrolysis","shrink_swell","end_1_1",0.002,0.002,"Thickness (m)","Relative Error","0.00e+00","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/swell_thickness"
217,"Detectors","smoke_detector","end_1_1",64.66,64.6592,"Obscuration (%/m)","Relative Error","1.19e-05","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/smoke_detector"
218,"Flowfields","species_conservation_1","end",0.036,0.035735,"Mass (kg)","Relative Error","7.37e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/species_conservation_1"
220,"Flowfields","species_conservation_3","end",0.00931,0.0097343,"Mass (kg)","Relative Error","4.56e-02","1.00e-01","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/species_conservation_3"
220,"Flowfields","species_conservation_3","end",0.8,0.7996,"Mass (kg)","Relative Error","5.01e-04","1.00e-01","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/species_conservation_3"
222,"Pyrolysis","surf_mass_vent_nonchar_cart_fuel","end_1_1",3.6,3.5952,"Mass (kg)","Relative Error","1.33e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_vent_nonchar_cart_fuel"
223,"Pyrolysis","surf_mass_vent_char_cart_fuel","end_1_1",1.8,1.8,"Mass (kg)","Relative Error","5.56e-08","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_vent_char_cart_fuel"
224,"Pyrolysis","surf_mass_vent_nonchar_cyl_fuel","end_1_1",1.8,1.8,"Mass (kg)","Relative Error","4.61e-06","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_vent_nonchar_cyl_fuel"
225,"Pyrolysis","surf_mass_vent_char_cyl_fuel","end_1_1",0.9,0.9,"Mass (kg)","Relative Error","1.56e-07","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_vent_char_cyl_fuel"
226,"Pyrolysis","surf_mass_vent_nonchar_spher_fuel","end_1_1",1.2,1.1923,"Mass (kg)","Relative Error","6.43e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_vent_nonchar_spher_fuel"
227,"Pyrolysis","surf_mass_vent_char_spher_fuel","end_1_1",0.6,0.59994,"Mass (kg)","Relative Error","1.04e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_vent_char_spher_fuel"
228,"Pyrolysis","surf_mass_part_nonchar_cart_fuel","end_1_1",0.009,0.0089672,"Mass (kg)","Relative Error","3.65e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_nonchar_cart_fuel"
229,"Pyrolysis","surf_mass_part_char_cart_fuel","end_1_1",0.0045,0.0045,"Mass (kg)","Relative Error","0.00e+00","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_char_cart_fuel"
230,"Pyrolysis","surf_mass_part_nonchar_cyl_fuel","end_1_1",0.0113,0.01131,"Mass (kg)","Relative Error","8.59e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_nonchar_cyl_fuel"
231,"Pyrolysis","surf_mass_part_char_cyl_fuel","end_1_1",0.00565,0.0056549,"Mass (kg)","Relative Error","8.61e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_char_cyl_fuel"
232,"Pyrolysis","surf_mass_part_nonchar_spher_fuel","end_1_1",0.00151,0.0014984,"Mass (kg)","Relative Error","7.69e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_nonchar_spher_fuel"
233,"Pyrolysis","surf_mass_part_char_spher_fuel","end_1_1",0.000754,0.00075392,"Mass (kg)","Relative Error","1.09e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_char_spher_fuel"
234,"Pyrolysis","surf_mass_vent_nonchar_cart_gas","end_1_1",3.6,3.5961,"Mass (kg)","Relative Error","1.08e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_vent_nonchar_cart_gas"
235,"Pyrolysis","surf_mass_vent_char_cart_gas","end_1_1",1.8,1.8,"Mass (kg)","Relative Error","0.00e+00","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_vent_char_cart_gas"
236,"Pyrolysis","surf_mass_vent_nonchar_cyl_gas","end_1_1",1.8,1.8,"Mass (kg)","Relative Error","9.11e-06","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_vent_nonchar_cyl_gas"
237,"Pyrolysis","surf_mass_vent_char_cyl_gas","end_1_1",0.9,0.9,"Mass (kg)","Relative Error","0.00e+00","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_vent_char_cyl_gas"
238,"Pyrolysis","surf_mass_vent_nonchar_spher_gas","end_1_1",1.2,1.1922,"Mass (kg)","Relative Error","6.54e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_vent_nonchar_spher_gas"
239,"Pyrolysis","surf_mass_vent_char_spher_gas","end_1_1",0.6,0.59999,"Mass (kg)","Relative Error","1.42e-05","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_vent_char_spher_gas"
240,"Pyrolysis","surf_mass_part_nonchar_cart_gas","end_1_1",0.009,0.0089782,"Mass (kg)","Relative Error","2.43e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_nonchar_cart_gas"
241,"Pyrolysis","surf_mass_part_char_cart_gas","end_1_1",0.0045,0.0045,"Mass (kg)","Relative Error","0.00e+00","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_char_cart_gas"
242,"Pyrolysis","surf_mass_part_nonchar_cyl_gas","end_1_1",0.0113,0.01131,"Mass (kg)","Relative Error","8.60e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_nonchar_cyl_gas"
243,"Pyrolysis","surf_mass_part_char_cyl_gas","end_1_1",0.00565,0.0056549,"Mass (kg)","Relative Error","8.61e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_char_cyl_gas"
244,"Pyrolysis","surf_mass_part_nonchar_spher_gas","end_1_1",0.00151,0.0014984,"Mass (kg)","Relative Error","7.68e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_nonchar_spher_gas"
245,"Pyrolysis","surf_mass_part_char_spher_gas","end_1_1",0.000754,0.00075391,"Mass (kg)","Relative Error","1.26e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_char_spher_gas"
246,"Pyrolysis","surf_mass_part_char_cyl_gas_advanced","end_1_1",0.00565,0.0056549,"Mass (kg)","Relative Error","8.61e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_char_cyl_gas_advanced"
247,"Pyrolysis","surf_mass_part_char_cart_fuel_split","end_1_1",0.00288,0.00288,"Mass (kg)","Relative Error","0.00e+00","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_char_cart_fuel_split"
248,"Pyrolysis","surf_mass_part_nonchar_cart_fuel_split","end_1_1",0.00576,0.0057395,"Mass (kg)","Relative Error","3.56e-03","1.50e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_nonchar_cart_fuel_split"
249,"Pyrolysis","surf_mass_part_char_cart_fuel_split","end",34.56,34.56,"Energy Released (kJ)","Relative Error","1.10e-06","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_char_cart_fuel_energy_split"
249,"Pyrolysis","surf_mass_part_char_cart_fuel_split","end",54,54,"Energy Released (kJ)","Relative Error","7.04e-07","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_char_cart_fuel_energy_split"
250,"Pyrolysis","surf_mass_part_nonchar_cart_fuel_split","end",69.12,68.8738,"Energy Released (kJ)","Relative Error","3.56e-03","2.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_nonchar_cart_fuel_energy_split"
250,"Pyrolysis","surf_mass_part_nonchar_cart_fuel_split","end",108,106.667,"Energy Released (kJ)","Relative Error","1.23e-02","2.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_nonchar_cart_fuel_energy_split"
251,"Pyrolysis","surf_mass_part_char_cyl_fuel_split","end_1_1",0.00226,0.0022619,"Mass (kg)","Relative Error","8.61e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_char_cyl_fuel_split"
252,"Pyrolysis","surf_mass_part_nonchar_cyl_fuel_split","end_1_1",0.00452,0.0045218,"Mass (kg)","Relative Error","3.92e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_nonchar_cyl_fuel_split"
253,"Pyrolysis","surf_mass_part_char_cyl_fuel_split","end",27.12,27.1433,"Energy Released (kJ)","Relative Error","8.60e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_char_cyl_fuel_energy_split"
253,"Pyrolysis","surf_mass_part_char_cyl_fuel_split","end",40.68,40.715,"Energy Released (kJ)","Relative Error","8.60e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_char_cyl_fuel_energy_split"
253,"Pyrolysis","surf_mass_part_char_cyl_fuel_split","end",54.24,54.2867,"Energy Released (kJ)","Relative Error","8.61e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_char_cyl_fuel_energy_split"
253,"Pyrolysis","surf_mass_part_char_cyl_fuel_split","end",67.86,67.8584,"Energy Released (kJ)","Relative Error","2.41e-05","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_char_cyl_fuel_energy_split"
254,"Pyrolysis","surf_mass_part_nonchar_cyl_fuel_split","end",54.24,54.2612,"Energy Released (kJ)","Relative Error","3.91e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_nonchar_cyl_fuel_energy_split"
254,"Pyrolysis","surf_mass_part_nonchar_cyl_fuel_split","end",81.48,81.3919,"Energy Released (kJ)","Relative Error","1.08e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_nonchar_cyl_fuel_energy_split"
254,"Pyrolysis","surf_mass_part_nonchar_cyl_fuel_split","end",108.6,108.5398,"Energy Released (kJ)","Relative Error","5.54e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_nonchar_cyl_fuel_energy_split"
254,"Pyrolysis","surf_mass_part_nonchar_cyl_fuel_split","end",135.6,135.6636,"Energy Released (kJ)","Relative Error","4.69e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_nonchar_cyl_fuel_energy_split"
255,"Pyrolysis","surf_mass_part_char_spher_fuel_split","end_1_1",0.000259,0.00025861,"Mass (kg)","Relative Error","1.50e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_char_spher_fuel_split"
256,"Pyrolysis","surf_mass_part_nonchar_spher_fuel_split","end_1_1",0.000517,0.00051661,"Mass (kg)","Relative Error","7.47e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_nonchar_spher_fuel_split"
257,"Pyrolysis","surf_mass_part_char_spher_fuel_split","end",3.108,3.1033,"Energy Released (kJ)","Relative Error","1.51e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_char_spher_fuel_energy_split"
257,"Pyrolysis","surf_mass_part_char_spher_fuel_split","end",4.632,4.6324,"Energy Released (kJ)","Relative Error","7.97e-05","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_char_spher_fuel_energy_split"
257,"Pyrolysis","surf_mass_part_char_spher_fuel_split","end",6.6,6.5956,"Energy Released (kJ)","Relative Error","6.60e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_char_spher_fuel_energy_split"
257,"Pyrolysis","surf_mass_part_char_spher_fuel_split","end",9.05,9.0474,"Energy Released (kJ)","Relative Error","2.89e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_char_spher_fuel_energy_split"
258,"Pyrolysis","surf_mass_part_nonchar_spher_fuel_split","end",6.204,6.1993,"Energy Released (kJ)","Relative Error","7.53e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_nonchar_spher_fuel_energy_split"
258,"Pyrolysis","surf_mass_part_nonchar_spher_fuel_split","end",9.264,9.2514,"Energy Released (kJ)","Relative Error","1.36e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_nonchar_spher_fuel_energy_split"
258,"Pyrolysis","surf_mass_part_nonchar_spher_fuel_split","end",13.2,13.1687,"Energy Released (kJ)","Relative Error","2.37e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_nonchar_spher_fuel_energy_split"
258,"Pyrolysis","surf_mass_part_nonchar_spher_fuel_split","end",18,18.0581,"Energy Released (kJ)","Relative Error","3.23e-03","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_part_nonchar_spher_fuel_energy_split"
259,"Pyrolysis","surf_mass_part_specified","end",0.005,0.0049888,"Mass (kg)","Relative Error","2.25e-03","1.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/surf_mass_part_specified"
259,"Pyrolysis","surf_mass_part_specified","end",0.006283,0.006269,"Mass (kg)","Relative Error","2.22e-03","1.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/surf_mass_part_specified"
259,"Pyrolysis","surf_mass_part_specified","end",0.002513,0.0025076,"Mass (kg)","Relative Error","2.14e-03","1.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/surf_mass_part_specified"
260,"Pyrolysis","surf_mass_two_species_cart","end",0.032,0.032,"Mass (kg)","Relative Error","0.00e+00","2.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_two_species_cart"
260,"Pyrolysis","surf_mass_two_species_cart","end",0.02,0.02,"Mass (kg)","Relative Error","0.00e+00","2.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_two_species_cart"
260,"Pyrolysis","surf_mass_two_species_cart","end",0.048,0.048,"Mass (kg)","Relative Error","0.00e+00","2.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_two_species_cart"
261,"Pyrolysis","surf_mass_two_species_cyl","end",0.032,0.032,"Mass (kg)","Relative Error","0.00e+00","4.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_two_species_cyl"
261,"Pyrolysis","surf_mass_two_species_cyl","end",0.02,0.02,"Mass (kg)","Relative Error","0.00e+00","4.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_two_species_cyl"
261,"Pyrolysis","surf_mass_two_species_cyl","end",0.048,0.048,"Mass (kg)","Relative Error","0.00e+00","4.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_two_species_cyl"
262,"Pyrolysis","surf_mass_two_species_spher","end",0.032,0.03185,"Mass (kg)","Relative Error","4.70e-03","4.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_two_species_spher"
262,"Pyrolysis","surf_mass_two_species_spher","end",0.02,0.019927,"Mass (kg)","Relative Error","3.64e-03","4.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_two_species_spher"
262,"Pyrolysis","surf_mass_two_species_spher","end",0.048,0.0476,"Mass (kg)","Relative Error","8.34e-03","4.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_two_species_spher"
263,"Pyrolysis","surf_mass_vent_liquid_fuel","end_1_2",6.84,6.8386,"Mass (kg)","Relative Error","2.07e-04","1.00e-02","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/surf_mass_vent_liquid_fuel"
