s,C,g/g,1/s,s,C,g/g,1/s,s,C,g/g,1/s,s,C,g/g,1/s,s,C,g/g,1/s,s,C,g/g,1/s,s,C,g/g,1/s,s,C,g/g,1/s
A-Time,A-Temperature,A-Mass,A-Mdot,B-Time,B-Temperature,B-Mass,B-Mdot,C-Time,C-Temperature,C-Mass,C-Mdot,D-Time,D-Temperature,D-Mass,D-Mdot,E-Time,E-Temperature,E-Mass,E-Mdot,F-Time,F-Temperature,F-Mass,F-Mdot,G-Time,G-Temperature,G-Mass,G-Mdot,H-Time,H-Temperature,H-Mass,H-Mdot
2172.2,399.5,0.3480,0.000193,2172.2,402.2,0.3013,0.000421,2647.4,329.0,0.3172,0.000237,2647.4,331.4,0.2375,0.000366,5672.8,410.9,0.3280,0.000062,601.4,312.3,0.7472,0.002858,1076.6,104.7,0.3863,0.000002,680.6,241.3,0.4148,0.000401
2180.4,400.8,0.3465,0.000192,2180.4,403.6,0.2978,0.000431,2657.4,330.7,0.3148,0.000237,2657.4,333.2,0.2338,0.000370,5694.3,412.2,0.3267,0.000061,603.7,314.7,0.7407,0.002879,1080.7,104.7,0.3862,0.000002,683.2,243.9,0.4137,0.000437
2188.6,402.2,0.3449,0.000191,2188.6,405.0,0.2942,0.000442,2667.4,332.4,0.3125,0.000237,2667.4,334.9,0.2301,0.000373,5715.8,413.4,0.3254,0.000060,605.9,317.0,0.7341,0.002900,1084.7,104.7,0.3862,0.000002,685.7,246.6,0.4126,0.000478
2196.9,403.5,0.3433,0.000191,2196.9,406.4,0.2905,0.000453,2677.5,334.1,0.3101,0.000238,2677.5,336.7,0.2264,0.000373,5737.3,414.6,0.3241,0.000059,608.2,319.3,0.7275,0.002923,1088.8,104.7,0.3862,0.000002,688.3,249.2,0.4114,0.000523
2205.1,404.9,0.3417,0.000190,2205.1,407.8,0.2867,0.000464,2687.5,335.8,0.3077,0.000238,2687.5,338.5,0.2226,0.000373,5758.8,416.0,0.3229,0.000058,610.5,321.6,0.7208,0.002948,1092.9,104.7,0.3862,0.000002,690.9,251.8,0.4100,0.000572
2213.3,406.3,0.3402,0.000190,2213.3,409.2,0.2828,0.000475,2697.5,337.4,0.3053,0.000239,2697.5,340.2,0.2189,0.000371,5780.3,417.2,0.3216,0.000058,612.8,324.0,0.7141,0.002975,1097.0,104.8,0.3862,0.000002,693.5,254.5,0.4085,0.000625
2221.6,407.7,0.3386,0.000189,2221.6,410.6,0.2789,0.000485,2707.6,339.1,0.3029,0.000241,2707.6,341.9,0.2152,0.000370,5801.8,418.5,0.3204,0.000057,615.1,326.3,0.7073,0.003004,1101.1,104.8,0.3862,0.000001,696.1,257.1,0.4068,0.000681
2229.8,409.0,0.3371,0.000189,2229.8,412.1,0.2749,0.000495,2717.6,340.8,0.3005,0.000244,2717.6,343.7,0.2115,0.000369,5823.2,419.7,0.3191,0.000056,617.3,328.7,0.7004,0.003036,1105.1,104.8,0.3862,0.000001,698.6,259.7,0.4050,0.000737
2238.0,410.4,0.3355,0.000188,2238.0,413.6,0.2707,0.000505,2727.6,342.5,0.2980,0.000247,2727.6,345.5,0.2078,0.000368,5844.7,420.9,0.3180,0.000054,619.6,331.0,0.6934,0.003071,1109.2,104.8,0.3862,0.000001,701.2,262.4,0.4030,0.000795
2246.2,411.8,0.3340,0.000188,2246.2,415.0,0.2665,0.000515,2737.6,344.1,0.2955,0.000252,2737.6,347.2,0.2041,0.000363,5866.2,422.2,0.3168,0.000053,621.9,333.3,0.6864,0.003110,1113.3,104.8,0.3862,0.000001,703.8,265.0,0.4009,0.000851
2254.5,413.1,0.3324,0.000187,2254.5,416.4,0.2623,0.000524,2747.7,345.7,0.2930,0.000258,2747.7,348.9,0.2005,0.000354,5887.7,423.6,0.3157,0.000053,624.2,335.7,0.6792,0.003153,1117.4,104.8,0.3862,0.000001,706.4,267.7,0.3986,0.000906
2262.7,414.5,0.3309,0.000187,2262.7,417.7,0.2579,0.000534,2757.7,347.4,0.2903,0.000266,2757.7,350.6,0.1970,0.000341,5909.2,424.8,0.3145,0.000053,626.4,338.0,0.6719,0.003200,1121.4,104.8,0.3862,0.000001,708.9,270.3,0.3961,0.000958
2270.9,415.9,0.3293,0.000187,2270.9,419.1,0.2535,0.000545,2767.7,349.1,0.2876,0.000276,2767.7,352.4,0.1937,0.000324,5930.7,425.9,0.3134,0.000052,628.7,340.3,0.6646,0.003252,1125.5,104.7,0.3862,0.000001,711.5,273.0,0.3936,0.001006
2279.2,417.3,0.3278,0.000187,2279.2,420.5,0.2490,0.000556,2777.8,350.9,0.2848,0.000287,2777.8,354.0,0.1905,0.000306,5952.2,427.3,0.3123,0.000051,631.0,342.6,0.6571,0.003311,1129.6,104.7,0.3862,0.000001,714.1,275.6,0.3909,0.001050
2287.4,418.7,0.3263,0.000187,2287.4,421.9,0.2444,0.000564,2787.8,352.6,0.2819,0.000300,2787.8,355.8,0.1876,0.000285,5973.7,428.6,0.3112,0.000050,633.3,344.9,0.6494,0.003376,1133.7,104.7,0.3862,0.000001,716.7,278.3,0.3880,0.001090
2295.6,420.0,0.3247,0.000185,2295.6,423.3,0.2396,0.000568,2797.8,354.4,0.2788,0.000315,2797.8,357.5,0.1848,0.000264,5995.2,429.8,0.3102,0.000049,635.6,347.2,0.6417,0.003450,1137.8,104.7,0.3862,0.000001,719.3,280.9,0.3852,0.001127
2303.8,421.4,0.3232,0.000184,2303.8,424.7,0.2350,0.000566,2807.8,356.0,0.2755,0.000331,2807.8,359.1,0.1823,0.000241,6016.6,431.0,0.3091,0.000049,637.8,349.5,0.6338,0.003532,1141.8,104.7,0.3862,0.000001,721.8,283.6,0.3822,0.001160
2312.1,422.7,0.3217,0.000182,2312.1,426.1,0.2303,0.000564,2817.9,357.7,0.2721,0.000348,2817.9,360.7,0.1800,0.000219,6038.1,432.1,0.3081,0.000048,640.1,351.8,0.6257,0.003624,1145.9,104.6,0.3861,0.000002,724.4,286.3,0.3791,0.001190
2320.3,424.1,0.3202,0.000180,2320.3,427.5,0.2257,0.000563,2827.9,359.3,0.2686,0.000365,2827.9,362.3,0.1779,0.000199,6059.6,433.4,0.3070,0.000048,642.4,354.1,0.6174,0.003726,1150.0,104.6,0.3861,0.000002,727.0,288.9,0.3760,0.001219
2328.5,425.5,0.3187,0.000178,2328.5,428.9,0.2211,0.000564,2837.9,361.0,0.2648,0.000381,2837.9,363.9,0.1760,0.000182,6081.1,434.7,0.3060,0.000047,644.7,356.4,0.6090,0.003839,1154.1,104.6,0.3861,0.000002,729.6,291.6,0.3729,0.001246
2336.8,426.9,0.3173,0.000176,2336.8,430.3,0.2164,0.000566,2848.0,362.8,0.2609,0.000395,2848.0,365.5,0.1742,0.000167,6102.6,435.9,0.3050,0.000046,647.0,358.8,0.6003,0.003962,1158.2,104.6,0.3861,0.000001,732.2,294.2,0.3696,0.001273
2345.0,428.2,0.3158,0.000174,2345.0,431.7,0.2118,0.000572,2858.0,364.5,0.2569,0.000406,2858.0,367.1,0.1726,0.000156,6124.1,437.3,0.3040,0.000045,649.2,361.1,0.5913,0.004093,1162.2,104.6,0.3861,0.000001,734.7,296.9,0.3663,0.001300
2353.2,429.6,0.3144,0.000171,2353.2,433.1,0.2070,0.000580,2868.0,366.1,0.2528,0.000412,2868.0,368.7,0.1711,0.000146,6145.6,438.6,0.3031,0.000045,651.5,363.4,0.5820,0.004232,1166.3,104.6,0.3861,0.000001,737.3,299.6,0.3629,0.001329
2361.4,431.0,0.3130,0.000168,2361.4,434.5,0.2022,0.000591,2878.0,367.8,0.2487,0.000414,2878.0,370.3,0.1697,0.000139,6167.1,439.7,0.3021,0.000044,653.8,365.7,0.5724,0.004374,1170.4,104.7,0.3861,0.000001,739.9,302.3,0.3595,0.001359
2369.7,432.4,0.3117,0.000165,2369.7,435.9,0.1973,0.000605,2888.1,369.4,0.2445,0.000410,2888.1,371.9,0.1683,0.000133,6188.5,441.0,0.3011,0.000044,656.1,367.9,0.5624,0.004516,1174.5,104.7,0.3861,0.000001,742.5,305.0,0.3559,0.001392
2377.9,433.7,0.3103,0.000162,2377.9,437.3,0.1923,0.000622,2898.1,371.1,0.2405,0.000399,2898.1,373.6,0.1670,0.000129,6210.0,442.2,0.3002,0.000044,658.3,370.2,0.5521,0.004653,1178.5,104.7,0.3861,0.000001,745.0,307.7,0.3523,0.001428
2386.1,435.1,0.3090,0.000159,2386.1,438.7,0.1871,0.000641,2908.1,372.7,0.2365,0.000383,2908.1,375.2,0.1657,0.000126,6231.5,443.4,0.2993,0.000043,660.6,372.5,0.5415,0.004779,1182.6,104.8,0.3861,0.000001,747.6,310.5,0.3485,0.001468
2394.3,436.5,0.3077,0.000156,2394.3,440.1,0.1817,0.000662,2918.1,374.4,0.2328,0.000362,2918.1,376.8,0.1645,0.000124,6253.0,444.8,0.2984,0.000043,662.9,374.8,0.5305,0.004889,1186.7,104.8,0.3861,0.000001,750.2,313.2,0.3447,0.001513
2402.6,437.9,0.3064,0.000153,2402.6,441.6,0.1762,0.000681,2928.2,376.1,0.2293,0.000337,2928.2,378.5,0.1632,0.000122,6274.5,446.0,0.2974,0.000042,665.2,377.1,0.5192,0.004976,1190.8,104.8,0.3861,0.000001,752.8,315.9,0.3407,0.001564
2410.8,439.3,0.3052,0.000149,2410.8,443.2,0.1704,0.000696,2938.2,377.8,0.2260,0.000309,2938.2,380.1,0.1620,0.000122,6296.0,447.2,0.2966,0.000041,667.5,379.5,0.5076,0.005033,1194.9,104.8,0.3861,0.000001,755.4,318.6,0.3367,0.001621
2419.0,440.6,0.3040,0.000146,2419.0,444.7,0.1644,0.000708,2948.2,379.5,0.2231,0.000280,2948.2,381.8,0.1608,0.000121,6317.5,448.6,0.2957,0.000041,669.7,381.8,0.4959,0.005055,1198.9,104.8,0.3861,0.000001,757.9,321.4,0.3324,0.001685
2427.3,442.0,0.3028,0.000144,2427.3,446.2,0.1583,0.000729,2958.3,381.1,0.2204,0.000253,2958.3,383.5,0.1596,0.000121,6339.0,449.8,0.2948,0.000040,672.0,384.1,0.4840,0.005037,1203.0,104.7,0.3861,0.000001,760.5,324.1,0.3280,0.001756
2435.5,443.3,0.3016,0.000142,2435.5,447.6,0.1520,0.000782,2968.3,382.7,0.2180,0.000228,2968.3,385.2,0.1583,0.000121,6360.4,451.0,0.2940,0.000040,674.3,386.4,0.4722,0.004975,1207.1,104.7,0.3861,0.000001,763.1,326.9,0.3235,0.001836
2443.7,444.7,0.3005,0.000140,2443.7,449.0,0.1457,0.000903,2978.3,384.3,0.2159,0.000205,2978.3,386.8,0.1571,0.000121,6381.9,452.2,0.2931,0.000039,676.6,388.7,0.4606,0.004868,1211.2,104.6,0.3861,0.000001,765.7,329.7,0.3187,0.001923
2451.9,446.0,0.2993,0.000139,2451.9,450.5,0.1392,0.001113,2988.3,385.9,0.2139,0.000187,2988.3,388.5,0.1559,0.000121,6403.4,453.5,0.2923,0.000039,678.8,391.0,0.4492,0.004716,1215.2,104.6,0.3861,0.000001,768.2,332.5,0.3137,0.002017
2460.2,447.4,0.2982,0.000136,2460.2,452.6,0.1308,0.001366,2998.4,387.6,0.2121,0.000172,2998.4,390.1,0.1547,0.000122,6424.9,454.8,0.2914,0.000038,681.1,393.3,0.4382,0.004522,1219.3,104.6,0.3861,0.000001,770.8,335.3,0.3085,0.002118
2468.4,448.8,0.2970,0.000134,2468.4,456.0,0.1172,0.001508,3008.4,389.3,0.2104,0.000160,3008.4,391.8,0.1535,0.000122,6446.4,456.0,0.2906,0.000038,683.4,395.6,0.4278,0.004290,1223.4,104.6,0.3861,0.000001,773.4,338.1,0.3030,0.002223
2476.6,450.2,0.2960,0.000131,2476.6,459.5,0.1002,0.001383,3018.4,391.0,0.2089,0.000151,3018.4,393.5,0.1523,0.000124,6467.9,457.3,0.2898,0.000037,685.7,397.9,0.4181,0.004026,1227.5,104.6,0.3861,0.000001,776.0,341.0,0.2973,0.002331
2484.9,451.5,0.2949,0.000128,2484.9,459.3,0.0894,0.001028,3028.5,392.7,0.2074,0.000144,3028.5,395.1,0.1510,0.000125,6489.4,458.4,0.2890,0.000036,688.0,400.2,0.4091,0.003739,1231.6,104.6,0.3861,0.000001,778.6,343.9,0.2913,0.002437
2493.1,452.8,0.2939,0.000126,2493.1,457.6,0.0851,0.000647,3038.5,394.4,0.2060,0.000139,3038.5,396.8,0.1497,0.000126,6510.9,459.6,0.2883,0.000035,690.2,402.5,0.4009,0.003436,1235.6,104.7,0.3861,0.000001,781.1,346.7,0.2850,0.002538
2501.3,454.3,0.2928,0.000124,2501.3,457.1,0.0829,0.000387,3048.5,396.1,0.2046,0.000136,3048.5,398.5,0.1485,0.000128,6532.4,461.0,0.2875,0.000035,692.5,404.8,0.3935,0.003129,1239.7,104.7,0.3860,0.000001,783.7,349.6,0.2784,0.002630
2509.5,455.7,0.2918,0.000122,2509.5,457.9,0.0807,0.000270,3058.5,397.8,0.2033,0.000133,3058.5,400.2,0.1472,0.000130,6553.8,462.3,0.2868,0.000035,694.8,407.1,0.3869,0.002825,1243.8,104.7,0.3860,0.000001,786.3,352.5,0.2715,0.002707
2517.8,457.1,0.2908,0.000120,2517.8,459.2,0.0783,0.000244,3068.6,399.5,0.2019,0.000130,3068.6,401.9,0.1459,0.000132,6575.3,463.5,0.2860,0.000034,697.1,409.4,0.3811,0.002533,1247.9,104.7,0.3860,0.000002,788.9,355.4,0.2644,0.002763
2526.0,458.5,0.2898,0.000119,2526.0,460.7,0.0759,0.000256,3078.6,401.1,0.2006,0.000128,3078.6,403.6,0.1445,0.000135,6596.8,464.8,0.2853,0.000033,699.3,411.7,0.3760,0.002261,1251.9,104.7,0.3860,0.000001,791.4,358.3,0.2570,0.002794
2534.2,459.9,0.2889,0.000117,2534.2,462.1,0.0734,0.000271,3088.6,402.8,0.1994,0.000126,3088.6,405.3,0.1431,0.000138,6618.3,466.1,0.2846,0.000033,701.6,414.0,0.3716,0.002014,1256.0,104.7,0.3860,0.000001,794.0,361.2,0.2495,0.002795
2542.5,461.2,0.2879,0.000116,2542.5,463.5,0.0711,0.000277,3098.7,404.5,0.1981,0.000125,3098.7,407.0,0.1417,0.000141,6639.8,467.3,0.2839,0.000032,703.9,416.3,0.3676,0.001797,1260.1,104.7,0.3860,0.000001,796.6,364.1,0.2420,0.002763
2550.7,462.6,0.2870,0.000114,2550.7,464.8,0.0688,0.000273,3108.7,406.1,0.1969,0.000123,3108.7,408.7,0.1403,0.000144,6661.3,468.5,0.2832,0.000032,706.2,418.6,0.3641,0.001610,1264.2,104.6,0.3860,0.000000,799.2,367.0,0.2346,0.002696
2558.9,463.9,0.2860,0.000112,2558.9,466.1,0.0666,0.000261,3118.7,407.8,0.1956,0.000122,3118.7,410.4,0.1388,0.000147,6682.8,469.7,0.2825,0.000032,708.5,420.9,0.3609,0.001454,1268.3,104.6,0.3860,-0.000001,801.8,369.8,0.2273,0.002596
2567.1,465.3,0.2851,0.000110,2567.1,467.4,0.0645,0.000244,3128.7,409.4,0.1944,0.000121,3128.7,412.1,0.1374,0.000150,6704.3,471.1,0.2818,0.000031,710.7,423.2,0.3579,0.001329,1272.3,104.6,0.3860,-0.000002,804.3,372.8,0.2205,0.002466
2575.4,466.7,0.2842,0.000109,2575.4,468.7,0.0626,0.000227,3138.8,411.1,0.1932,0.000120,3138.8,413.9,0.1358,0.000154,6725.7,472.5,0.2812,0.000030,713.0,425.5,0.3551,0.001232,1276.4,104.8,0.3860,-0.000003,806.9,375.7,0.2141,0.002313
2583.6,468.0,0.2833,0.000107,2583.6,470.1,0.0608,0.000208,3148.8,412.7,0.1920,0.000119,3148.8,415.6,0.1343,0.000158,6747.2,473.6,0.2806,0.000030,715.3,427.8,0.3525,0.001160,1280.5,105.3,0.3860,-0.000003,809.5,378.7,0.2083,0.002143
2591.8,469.5,0.2824,0.000106,2591.8,471.4,0.0592,0.000191,3158.8,414.4,0.1908,0.000119,3158.8,417.3,0.1327,0.000162,6768.7,475.1,0.2799,0.000030,717.6,430.1,0.3499,0.001109,1284.6,106.2,0.3861,-0.000004,812.1,381.7,0.2031,0.001964
2600.0,470.9,0.2816,0.000104,2600.0,472.7,0.0577,0.000173,3168.8,416.2,0.1896,0.000118,3168.8,419.0,0.1310,0.000166,6790.2,476.2,0.2793,0.000029,719.8,432.4,0.3474,0.001075,1288.6,107.8,0.3861,-0.000004,814.6,384.8,0.1985,0.001787
2608.3,472.2,0.2807,0.000102,2608.3,473.9,0.0563,0.000157,3178.9,417.8,0.1884,0.000117,3178.9,420.6,0.1293,0.000170,6811.7,477.5,0.2786,0.000029,722.1,434.8,0.3449,0.001056,1292.7,109.9,0.3861,-0.000003,817.2,388.0,0.1944,0.001616
2616.5,473.6,0.2799,0.000100,2616.5,475.2,0.0551,0.000142,3188.9,419.5,0.1873,0.000116,3188.9,422.3,0.1276,0.000175,6833.2,478.8,0.2780,0.000028,724.4,437.1,0.3424,0.001047,1296.8,112.4,0.3861,-0.000002,819.8,391.1,0.1907,0.001460
2624.7,475.0,0.2791,0.000098,2624.7,476.6,0.0540,0.000127,3198.9,421.2,0.1861,0.000115,3198.9,424.1,0.1258,0.000180,6854.7,480.1,0.2774,0.000028,726.7,439.4,0.3400,0.001044,1300.9,115.4,0.3861,-0.000001,822.4,394.3,0.1874,0.001321
2633.0,476.4,0.2783,0.000096,2633.0,477.9,0.0530,0.000114,3209.0,422.9,0.1850,0.000113,3209.0,425.8,0.1240,0.000185,6876.2,481.3,0.2768,0.000028,729.0,441.7,0.3375,0.001046,1305.0,118.6,0.3861,0.000001,825.0,397.4,0.1844,0.001202
2641.2,477.8,0.2775,0.000095,2641.2,479.1,0.0521,0.000102,3219.0,424.5,0.1838,0.000112,3219.0,427.5,0.1221,0.000191,6897.6,482.6,0.2762,0.000028,731.2,444.0,0.3350,0.001049,1309.0,122.1,0.3861,0.000002,827.5,400.3,0.1816,0.001103
2649.4,479.2,0.2768,0.000093,2649.4,480.4,0.0513,0.000091,3229.0,426.2,0.1827,0.000111,3229.0,429.2,0.1202,0.000197,6919.1,483.8,0.2756,0.000027,733.5,446.3,0.3325,0.001052,1313.1,125.7,0.3861,0.000004,830.1,403.2,0.1790,0.001023
2657.6,480.6,0.2760,0.000092,2657.6,481.7,0.0506,0.000081,3239.0,427.9,0.1816,0.000109,3239.0,431.0,0.1182,0.000202,6940.6,485.1,0.2751,0.000027,735.8,448.7,0.3300,0.001054,1317.2,129.4,0.3861,0.000006,832.7,406.0,0.1764,0.000962
2665.9,482.0,0.2752,0.000090,2665.9,483.0,0.0500,0.000072,3249.1,429.6,0.1805,0.000108,3249.1,432.8,0.1161,0.000208,6962.1,486.4,0.2745,0.000027,738.1,451.0,0.3276,0.001053,1321.3,133.3,0.3860,0.000008,835.3,408.6,0.1740,0.000917
2674.1,483.4,0.2745,0.000088,2674.1,484.4,0.0494,0.000064,3259.1,431.3,0.1795,0.000106,3259.1,434.5,0.1140,0.000214,6983.6,487.8,0.2739,0.000027,740.3,453.3,0.3251,0.001049,1325.3,137.1,0.3860,0.000011,837.8,411.2,0.1717,0.000887
2682.3,484.8,0.2738,0.000086,2682.3,485.8,0.0489,0.000057,3269.1,432.9,0.1784,0.000104,3269.1,436.3,0.1118,0.000220,7005.1,489.1,0.2733,0.000027,742.6,455.6,0.3227,0.001041,1329.4,141.1,0.3859,0.000014,840.4,413.7,0.1694,0.000869
2690.6,486.2,0.2731,0.000085,2690.6,487.2,0.0485,0.000050,3279.2,434.6,0.1774,0.000102,3279.2,438.0,0.1096,0.000225,7026.6,490.4,0.2728,0.000026,744.9,457.9,0.3203,0.001029,1333.5,145.1,0.3859,0.000018,843.0,416.1,0.1671,0.000862
2698.8,487.6,0.2724,0.000084,2698.8,488.6,0.0481,0.000044,3289.2,436.3,0.1764,0.000100,3289.2,439.7,0.1073,0.000229,7048.1,491.6,0.2722,0.000026,747.2,460.2,0.3179,0.001014,1337.6,149.1,0.3858,0.000022,845.6,418.6,0.1648,0.000865
2707.0,488.9,0.2717,0.000084,2707.0,490.0,0.0478,0.000039,3299.2,437.9,0.1754,0.000098,3299.2,441.4,0.1050,0.000234,7069.6,492.9,0.2716,0.000026,749.5,462.5,0.3156,0.000996,1341.7,153.1,0.3857,0.000027,848.2,421.1,0.1626,0.000876
2715.2,490.2,0.2710,0.000083,2715.2,491.3,0.0475,0.000034,3309.2,439.6,0.1744,0.000096,3309.2,443.1,0.1026,0.000238,7091.0,494.3,0.2711,0.000026,751.7,464.9,0.3134,0.000974,1345.7,157.2,0.3856,0.000033,850.7,423.6,0.1603,0.000894
2723.5,491.5,0.2703,0.000081,2723.5,492.6,0.0472,0.000030,3319.3,441.3,0.1734,0.000094,3319.3,444.9,0.1002,0.000242,7112.5,495.5,0.2705,0.000025,754.0,467.2,0.3112,0.000951,1349.8,161.3,0.3854,0.000040,853.3,426.2,0.1579,0.000919
2731.7,492.9,0.2697,0.000079,2731.7,494.0,0.0470,0.000026,3329.3,442.9,0.1725,0.000091,3329.3,446.6,0.0978,0.000246,7134.0,496.8,0.2700,0.000025,756.3,469.5,0.3090,0.000925,1353.9,165.4,0.3852,0.000049,855.9,428.8,0.1555,0.000950
2739.9,494.3,0.2690,0.000077,2739.9,495.3,0.0468,0.000023,3339.3,444.6,0.1716,0.000089,3339.3,448.3,0.0953,0.000251,7155.5,498.0,0.2694,0.000026,758.6,471.9,0.3070,0.000898,1358.0,169.4,0.3850,0.000058,858.5,431.5,0.1530,0.000986
2748.2,495.7,0.2684,0.000076,2748.2,496.6,0.0466,0.000020,3349.4,446.3,0.1707,0.000087,3349.4,450.0,0.0927,0.000258,7177.0,499.2,0.2689,0.000025,760.9,474.2,0.3050,0.000870,1362.1,173.5,0.3848,0.000068,861.1,434.3,0.1505,0.001026
2756.4,497.1,0.2678,0.000074,2756.4,498.0,0.0464,0.000017,3359.4,448.0,0.1699,0.000085,3359.4,451.8,0.0901,0.000267,7198.5,500.6,0.2684,0.000024,763.1,476.5,0.3030,0.000842,1366.1,177.6,0.3845,0.000079,863.6,437.1,0.1478,0.001070
2764.6,498.5,0.2672,0.000074,2764.6,499.4,0.0463,0.000015,3369.4,449.6,0.1690,0.000083,3369.4,453.6,0.0874,0.000277,7220.0,501.9,0.2678,0.000024,765.4,478.9,0.3011,0.000814,1370.2,181.6,0.3841,0.000092,866.2,440.0,0.1450,0.001115
2772.8,500.0,0.2666,0.000073,2772.8,500.8,0.0462,0.000013,3379.4,451.3,0.1682,0.000081,3379.4,455.4,0.0845,0.000291,7241.5,503.1,0.2673,0.000023,767.7,481.2,0.2993,0.000787,1374.3,185.7,0.3837,0.000104,868.8,442.9,0.1421,0.001162
2781.1,501.4,0.2660,0.000073,2781.1,502.2,0.0461,0.000011,3389.5,452.9,0.1674,0.000080,3389.5,457.3,0.0814,0.000312,7262.9,504.4,0.2669,0.000022,770.0,483.6,0.2976,0.000761,1378.4,189.8,0.3833,0.000118,871.4,445.8,0.1390,0.001209
2789.3,502.8,0.2654,0.000073,2789.3,503.6,0.0460,0.000009,3399.5,454.6,0.1666,0.000078,3399.5,459.3,0.0780,0.000348,7284.4,505.6,0.2664,0.000021,772.2,485.9,0.2959,0.000735,1382.4,193.8,0.3828,0.000131,873.9,448.7,0.1359,0.001254
2797.5,504.2,0.2648,0.000072,2797.5,505.0,0.0460,0.000007,3409.5,456.3,0.1658,0.000077,3409.5,461.3,0.0743,0.000416,7305.9,507.1,0.2659,0.000021,774.5,488.2,0.2943,0.000711,1386.5,197.9,0.3822,0.000144,876.5,451.7,0.1326,0.001297
2805.7,505.5,0.2642,0.000072,2805.7,506.4,0.0459,0.000006,3419.5,458.0,0.1651,0.000075,3419.5,463.4,0.0702,0.000529,7327.4,508.3,0.2655,0.000020,776.8,490.6,0.2927,0.000688,1390.6,202.0,0.3816,0.000157,879.1,454.7,0.1291,0.001335
2814.0,506.9,0.2636,0.000071,2814.0,507.7,0.0459,0.000006,3429.6,459.7,0.1643,0.000073,3429.6,465.9,0.0650,0.000674,7348.9,509.6,0.2651,0.000020,779.1,492.9,0.2912,0.000667,1394.7,206.1,0.3809,0.000170,881.7,457.6,0.1256,0.001368
2822.2,508.2,0.2630,0.000070,2822.2,509.1,0.0458,0.000005,3439.6,461.3,0.1636,0.000071,3439.6,469.5,0.0572,0.000774,7370.4,510.9,0.2646,0.000019,781.4,495.2,0.2897,0.000646,1398.8,210.3,0.3802,0.000183,884.3,460.6,0.1220,0.001394
2830.4,509.6,0.2624,0.000070,2830.4,510.5,0.0458,0.000005,3449.6,463.0,0.1629,0.000070,3449.6,472.9,0.0475,0.000740,7391.9,512.1,0.2642,0.000019,783.6,497.6,0.2882,0.000627,1402.8,214.4,0.3794,0.000196,886.8,463.5,0.1183,0.001412
2838.7,510.9,0.2619,0.000069,2838.7,511.9,0.0457,0.000005,3459.7,464.7,0.1622,0.000068,3459.7,473.3,0.0406,0.000585,7413.4,513.6,0.2638,0.000018,785.9,499.9,0.2868,0.000609,1406.9,218.6,0.3785,0.000210,889.4,466.4,0.1145,0.001424
2846.9,512.3,0.2613,0.000069,2846.9,513.2,0.0457,0.000004,3469.7,466.4,0.1615,0.000067,3469.7,472.8,0.0366,0.000411,7434.8,514.8,0.2635,0.000018,788.2,502.2,0.2854,0.000591,1411.0,222.7,0.3776,0.000227,892.0,469.2,0.1108,0.001427
2855.1,513.8,0.2607,0.000069,2855.1,514.6,0.0456,0.000004,3479.7,468.1,0.1609,0.000065,3479.7,473.2,0.0337,0.000288,7456.3,516.1,0.2631,0.000018,790.5,504.5,0.2841,0.000575,1415.1,226.9,0.3767,0.000247,894.6,472.0,0.1071,0.001425
2863.3,515.2,0.2602,0.000069,2863.3,515.9,0.0456,0.000004,3489.7,469.8,0.1602,0.000064,3489.7,474.2,0.0313,0.000222,7477.8,517.4,0.2627,0.000018,792.7,506.9,0.2828,0.000559,1419.1,231.0,0.3756,0.000272,897.1,474.7,0.1034,0.001417
2871.6,516.6,0.2596,0.000068,2871.6,517.2,0.0456,0.000003,3499.8,471.5,0.1596,0.000062,3499.8,475.5,0.0292,0.000190,7499.3,518.7,0.2623,0.000018,795.0,509.2,0.2816,0.000545,1423.2,235.1,0.3744,0.000304,899.7,477.3,0.0997,0.001405
2879.8,518.0,0.2590,0.000067,2879.8,518.5,0.0456,0.000003,3509.8,473.3,0.1590,0.000061,3509.8,476.9,0.0272,0.000174,7520.8,520.1,0.2619,0.000017,797.3,511.5,0.2803,0.000530,1427.3,239.2,0.3732,0.000344,902.3,480.0,0.0962,0.001391
2888.0,519.4,0.2585,0.000065,2888.0,519.8,0.0455,0.000003,3519.8,474.9,0.1584,0.000060,3519.8,478.3,0.0255,0.000161,7542.3,521.4,0.2616,0.000017,799.6,513.9,0.2791,0.000517,1431.4,243.3,0.3717,0.000392,904.9,482.6,0.0926,0.001375
2896.3,520.8,0.2580,0.000063,2896.3,521.2,0.0455,0.000003,3529.9,476.6,0.1578,0.000059,3529.9,479.7,0.0239,0.000147,7563.8,522.7,0.2612,0.000016,801.9,516.2,0.2780,0.000504,1435.5,247.4,0.3701,0.000450,907.5,485.2,0.0892,0.001359
2904.5,522.3,0.2575,0.000060,2904.5,522.7,0.0455,0.000003,3539.9,478.3,0.1572,0.000058,3539.9,481.2,0.0225,0.000133,7585.3,523.8,0.2609,0.000016,804.1,518.5,0.2768,0.000492,1439.5,251.5,0.3682,0.000516,910.0,487.8,0.0857,0.001343
2912.7,523.7,0.2570,0.000058,2912.7,524.1,0.0455,0.000003,3549.9,480.0,0.1566,0.000056,3549.9,482.8,0.0212,0.000119,7606.8,525.1,0.2605,0.000016,806.4,520.8,0.2757,0.000481,1443.6,255.6,0.3660,0.000588,912.6,490.3,0.0823,0.001329
